cell,i,j,k,x_m,y_m,z_m
158,8,10,0,0.17,0.21,0.01
159,9,10,0,0.19,0.21,0.01
160,10,10,0,0.21,0.21,0.01
161,11,10,0,0.23,0.21,0.01
162,12,10,0,0.25,0.21,0.01
163,13,10,0,0.27,0.21,0.01
164,14,10,0,0.29,0.21,0.01
165,0,11,0,0.01,0.23,0.01
166,1,11,0,0.03,0.23,0.01
167,2,11,0,0.05,0.23,0.01
168,3,11,0,0.07,0.23,0.01
169,4,11,0,0.09,0.23,0.01
170,5,11,0,0.11,0.23,0.01
171,6,11,0,0.13,0.23,0.01
172,7,11,0,0.15,0.23,0.01
173,8,11,0,0.17,0.23,0.01
174,9,11,0,0.19,0.23,0.01
175,10,11,0,0.21,0.23,0.01
176,11,11,0,0.23,0.23,0.01
177,12,11,0,0.25,0.23,0.01
178,13,11,0,0.27,0.23,0.01
179,14,11,0,0.29,0.23,0.01
180,0,12,0,0.01,0.25,0.01
181,1,12,0,0.03,0.25,0.01
182,2,12,0,0.05,0.25,0.01
183,3,12,0,0.07,0.25,0.01
184,4,12,0,0.09,0.25,0.01
185,5,12,0,0.11,0.25,0.01
186,6,12,0,0.13,0.25,0.01
187,7,12,0,0.15,0.25,0.01
188,8,12,0,0.17,0.25,0.01
189,9,12,0,0.19,0.25,0.01
190,10,12,0,0.21,0.25,0.01
191,11,12,0,0.23,0.25,0.01
192,12,12,0,0.25,0.25,0.01
193,13,12,0,0.27,0.25,0.01
194,14,12,0,0.29,0.25,0.01
195,0,13,0,0.01,0.27,0.01
196,1,13,0,0.03,0.27,0.01
197,2,13,0,0.05,0.27,0.01
198,3,13,0,0.07,0.27,0.01
199,4,13,0,0.09,0.27,0.01
200,5,13,0,0.11,0.27,0.01
201,6,13,0,0.13,0.27,0.01
202,7,13,0,0.15,0.27,0.01
203,8,13,0,0.17,0.27,0.01
204,9,13,0,0.19,0.27,0.01
205,10,13,0,0.21,0.27,0.01
206,11,13,0,0.23,0.27,0.01
207,12,13,0,0.25,0.27,0.01
208,13,13,0,0.27,0.27,0.01
209,14,13,0,0.29,0.27,0.01
