cell,i,j,k,x_m,y_m,z_m
694,4,1,3,0.09,0.03,0.07
695,5,1,3,0.11,0.03,0.07
696,6,1,3,0.13,0.03,0.07
697,7,1,3,0.15,0.03,0.07
698,8,1,3,0.17,0.03,0.07
699,9,1,3,0.19,0.03,0.07
700,10,1,3,0.21,0.03,0.07
701,11,1,3,0.23,0.03,0.07
702,12,1,3,0.25,0.03,0.07
703,13,1,3,0.27,0.03,0.07
704,14,1,3,0.29,0.03,0.07
705,0,2,3,0.01,0.05,0.07
706,1,2,3,0.03,0.05,0.07
707,2,2,3,0.05,0.05,0.07
708,3,2,3,0.07,0.05,0.07
709,4,2,3,0.09,0.05,0.07
710,5,2,3,0.11,0.05,0.07
711,6,2,3,0.13,0.05,0.07
712,7,2,3,0.15,0.05,0.07
713,8,2,3,0.17,0.05,0.07
714,9,2,3,0.19,0.05,0.07
715,10,2,3,0.21,0.05,0.07
716,11,2,3,0.23,0.05,0.07
717,12,2,3,0.25,0.05,0.07
718,13,2,3,0.27,0.05,0.07
719,14,2,3,0.29,0.05,0.07
720,0,3,3,0.01,0.07,0.07
721,1,3,3,0.03,0.07,0.07
722,2,3,3,0.05,0.07,0.07
723,3,3,3,0.07,0.07,0.07
724,4,3,3,0.09,0.07,0.07
725,5,3,3,0.11,0.07,0.07
726,6,3,3,0.13,0.07,0.07
727,7,3,3,0.15,0.07,0.07
728,8,3,3,0.17,0.07,0.07
729,9,3,3,0.19,0.07,0.07
730,10,3,3,0.21,0.07,0.07
731,11,3,3,0.23,0.07,0.07
732,12,3,3,0.25,0.07,0.07
733,13,3,3,0.27,0.07,0.07
734,14,3,3,0.29,0.07,0.07
735,0,4,3,0.01,0.09,0.07
736,1,4,3,0.03,0.09,0.07
737,2,4,3,0.05,0.09,0.07
738,3,4,3,0.07,0.09,0.07
739,4,4,3,0.09,0.09,0.07
740,5,4,3,0.11,0.09,0.07
741,6,4,3,0.13,0.09,0.07
742,7,4,3,0.15,0.09,0.07
743,8,4,3,0.17,0.09,0.07
744,9,4,3,0.19,0.09,0.07
745,10,4,3,0.21,0.09,0.07
746,11,4,3,0.23,0.09,0.07
747,12,4,3,0.25,0.09,0.07
748,13,4,3,0.27,0.09,0.07
749,14,4,3,0.29,0.09,0.07
750,0,5,3,0.01,0.11,0.07
751,1,5,3,0.03,0.11,0.07
752,2,5,3,0.05,0.11,0.07
753,3,5,3,0.07,0.11,0.07
754,4,5,3,0.09,0.11,0.07
755,5,5,3,0.11,0.11,0.07
756,6,5,3,0.13,0.11,0.07
757,7,5,3,0.15,0.11,0.07
758,8,5,3,0.17,0.11,0.07
759,9,5,3,0.19,0.11,0.07
760,10,5,3,0.21,0.11,0.07
761,11,5,3,0.23,0.11,0.07
762,12,5,3,0.25,0.11,0.07
763,13,5,3,0.27,0.11,0.07
764,14,5,3,0.29,0.11,0.07
765,0,6,3,0.01,0.13,0.07
766,1,6,3,0.03,0.13,0.07
767,2,6,3,0.05,0.13,0.07
768,3,6,3,0.07,0.13,0.07
769,4,6,3,0.09,0.13,0.07
770,5,6,3,0.11,0.13,0.07
771,6,6,3,0.13,0.13,0.07
772,7,6,3,0.15,0.13,0.07
773,8,6,3,0.17,0.13,0.07
774,9,6,3,0.19,0.13,0.07
775,10,6,3,0.21,0.13,0.07
776,11,6,3,0.23,0.13,0.07
777,12,6,3,0.25,0.13,0.07
778,13,6,3,0.27,0.13,0.07
779,14,6,3,0.29,0.13,0.07
780,0,7,3,0.01,0.15,0.07
781,1,7,3,0.03,0.15,0.07
782,2,7,3,0.05,0.15,0.07
783,3,7,3,0.07,0.15,0.07
784,4,7,3,0.09,0.15,0.07
785,5,7,3,0.11,0.15,0.07
786,6,7,3,0.13,0.15,0.07
787,7,7,3,0.15,0.15,0.07
788,8,7,3,0.17,0.15,0.07
789,9,7,3,0.19,0.15,0.07
790,10,7,3,0.21,0.15,0.07
791,11,7,3,0.23,0.15,0.07
792,12,7,3,0.25,0.15,0.07
793,13,7,3,0.27,0.15,0.07
794,14,7,3,0.29,0.15,0.07
795,0,8,3,0.01,0.17,0.07
796,1,8,3,0.03,0.17,0.07
797,2,8,3,0.05,0.17,0.07
798,3,8,3,0.07,0.17,0.07
799,4,8,3,0.09,0.17,0.07
800,5,8,3,0.11,0.17,0.07
801,6,8,3,0.13,0.17,0.07
802,7,8,3,0.15,0.17,0.07
803,8,8,3,0.17,0.17,0.07
804,9,8,3,0.19,0.17,0.07
805,10,8,3,0.21,0.17,0.07
806,11,8,3,0.23,0.17,0.07
807,12,8,3,0.25,0.17,0.07
808,13,8,3,0.27,0.17,0.07
809,14,8,3,0.29,0.17,0.07
810,0,9,3,0.01,0.19,0.07
811,1,9,3,0.03,0.19,0.07
812,2,9,3,0.05,0.19,0.07
813,3,9,3,0.07,0.19,0.07
814,4,9,3,0.09,0.19,0.07
815,5,9,3,0.11,0.19,0.07
816,6,9,3,0.13,0.19,0.07
817,7,9,3,0.15,0.19,0.07
818,8,9,3,0.17,0.19,0.07
819,9,9,3,0.19,0.19,0.07
820,10,9,3,0.21,0.19,0.07
821,11,9,3,0.23,0.19,0.07
822,12,9,3,0.25,0.19,0.07
823,13,9,3,0.27,0.19,0.07
824,14,9,3,0.29,0.19,0.07
825,0,10,3,0.01,0.21,0.07
826,1,10,3,0.03,0.21,0.07
827,2,10,3,0.05,0.21,0.07
828,3,10,3,0.07,0.21,0.07
829,4,10,3,0.09,0.21,0.07
830,5,10,3,0.11,0.21,0.07
831,6,10,3,0.13,0.21,0.07
832,7,10,3,0.15,0.21,0.07
833,8,10,3,0.17,0.21,0.07
834,9,10,3,0.19,0.21,0.07
835,10,10,3,0.21,0.21,0.07
836,11,10,3,0.23,0.21,0.07
837,12,10,3,0.25,0.21,0.07
838,13,10,3,0.27,0.21,0.07
839,14,10,3,0.29,0.21,0.07
840,0,11,3,0.01,0.23,0.07
841,1,11,3,0.03,0.23,0.07
842,2,11,3,0.05,0.23,0.07
843,3,11,3,0.07,0.23,0.07
844,4,11,3,0.09,0.23,0.07
845,5,11,3,0.11,0.23,0.07
846,6,11,3,0.13,0.23,0.07
847,7,11,3,0.15,0.23,0.07
848,8,11,3,0.17,0.23,0.07
849,9,11,3,0.19,0.23,0.07
850,10,11,3,0.21,0.23,0.07
851,11,11,3,0.23,0.23,0.07
852,12,11,3,0.25,0.23,0.07
853,13,11,3,0.27,0.23,0.07
854,14,11,3,0.29,0.23,0.07
855,0,12,3,0.01,0.25,0.07
856,1,12,3,0.03,0.25,0.07
857,2,12,3,0.05,0.25,0.07
858,3,12,3,0.07,0.25,0.07
859,4,12,3,0.09,0.25,0.07
860,5,12,3,0.11,0.25,0.07
861,6,12,3,0.13,0.25,0.07
862,7,12,3,0.15,0.25,0.07
863,8,12,3,0.17,0.25,0.07
864,9,12,3,0.19,0.25,0.07
865,10,12,3,0.21,0.25,0.07
866,11,12,3,0.23,0.25,0.07
867,12,12,3,0.25,0.25,0.07
868,13,12,3,0.27,0.25,0.07
869,14,12,3,0.29,0.25,0.07
870,0,13,3,0.01,0.27,0.07
871,1,13,3,0.03,0.27,0.07
872,2,13,3,0.05,0.27,0.07
873,3,13,3,0.07,0.27,0.07
874,4,13,3,0.09,0.27,0.07
875,5,13,3,0.11,0.27,0.07
876,6,13,3,0.13,0.27,0.07
877,7,13,3,0.15,0.27,0.07
878,8,13,3,0.17,0.27,0.07
879,9,13,3,0.19,0.27,0.07
880,10,13,3,0.21,0.27,0.07
881,11,13,3,0.23,0.27,0.07
882,12,13,3,0.25,0.27,0.07
883,13,13,3,0.27,0.27,0.07
884,14,13,3,0.29,0.27,0.07
885,0,14,3,0.01,0.29,0.07
886,1,14,3,0.03,0.29,0.07
887,2,14,3,0.05,0.29,0.07
888,3,14,3,0.07,0.29,0.07
889,4,14,3,0.09,0.29,0.07
890,5,14,3,0.11,0.29,0.07
891,6,14,3,0.13,0.29,0.07
892,7,14,3,0.15,0.29,0.07
893,8,14,3,0.17,0.29,0.07
894,9,14,3,0.19,0.29,0.07
895,10,14,3,0.21,0.29,0.07
896,11,14,3,0.23,0.29,0.07
897,12,14,3,0.25,0.29,0.07
898,13,14,3,0.27,0.29,0.07
899,14,14,3,0.29,0.29,0.07
900,0,0,4,0.01,0.01,0.09
901,1,0,4,0.03,0.01,0.09
902,2,0,4,0.05,0.01,0.09
903,3,0,4,0.07,0.01,0.09
904,4,0,4,0.09,0.01,0.09
905,5,0,4,0.11,0.01,0.09
906,6,0,4,0.13,0.01,0.09
907,7,0,4,0.15,0.01,0.09
908,8,0,4,0.17,0.01,0.09
909,9,0,4,0.19,0.01,0.09
910,10,0,4,0.21,0.01,0.09
911,11,0,4,0.23,0.01,0.09
912,12,0,4,0.25,0.01,0.09
913,13,0,4,0.27,0.01,0.09
914,14,0,4,0.29,0.01,0.09
915,0,1,4,0.01,0.03,0.09
916,1,1,4,0.03,0.03,0.09
917,2,1,4,0.05,0.03,0.09
918,3,1,4,0.07,0.03,0.09
919,4,1,4,0.09,0.03,0.09
920,5,1,4,0.11,0.03,0.09
921,6,1,4,0.13,0.03,0.09
922,7,1,4,0.15,0.03,0.09
923,8,1,4,0.17,0.03,0.09
924,9,1,4,0.19,0.03,0.09
925,10,1,4,0.21,0.03,0.09
926,11,1,4,0.23,0.03,0.09
927,12,1,4,0.25,0.03,0.09
928,13,1,4,0.27,0.03,0.09
929,14,1,4,0.29,0.03,0.09
930,0,2,4,0.01,0.05,0.09
931,1,2,4,0.03,0.05,0.09
932,2,2,4,0.05,0.05,0.09
933,3,2,4,0.07,0.05,0.09
934,4,2,4,0.09,0.05,0.09
935,5,2,4,0.11,0.05,0.09
936,6,2,4,0.13,0.05,0.09
937,7,2,4,0.15,0.05,0.09
938,8,2,4,0.17,0.05,0.09
939,9,2,4,0.19,0.05,0.09
940,10,2,4,0.21,0.05,0.09
941,11,2,4,0.23,0.05,0.09
942,12,2,4,0.25,0.05,0.09
943,13,2,4,0.27,0.05,0.09
944,14,2,4,0.29,0.05,0.09
945,0,3,4,0.01,0.07,0.09
946,1,3,4,0.03,0.07,0.09
947,2,3,4,0.05,0.07,0.09
948,3,3,4,0.07,0.07,0.09
949,4,3,4,0.09,0.07,0.09
950,5,3,4,0.11,0.07,0.09
951,6,3,4,0.13,0.07,0.09
952,7,3,4,0.15,0.07,0.09
953,8,3,4,0.17,0.07,0.09
954,9,3,4,0.19,0.07,0.09
955,10,3,4,0.21,0.07,0.09
956,11,3,4,0.23,0.07,0.09
957,12,3,4,0.25,0.07,0.09
958,13,3,4,0.27,0.07,0.09
959,14,3,4,0.29,0.07,0.09
960,0,4,4,0.01,0.09,0.09
961,1,4,4,0.03,0.09,0.09
962,2,4,4,0.05,0.09,0.09
963,3,4,4,0.07,0.09,0.09
964,4,4,4,0.09,0.09,0.09
965,5,4,4,0.11,0.09,0.09
966,6,4,4,0.13,0.09,0.09
967,7,4,4,0.15,0.09,0.09
968,8,4,4,0.17,0.09,0.09
969,9,4,4,0.19,0.09,0.09
970,10,4,4,0.21,0.09,0.09
971,11,4,4,0.23,0.09,0.09
972,12,4,4,0.25,0.09,0.09
973,13,4,4,0.27,0.09,0.09
974,14,4,4,0.29,0.09,0.09
975,0,5,4,0.01,0.11,0.09
976,1,5,4,0.03,0.11,0.09
977,2,5,4,0.05,0.11,0.09
978,3,5,4,0.07,0.11,0.09
979,4,5,4,0.09,0.11,0.09
980,5,5,4,0.11,0.11,0.09
981,6,5,4,0.13,0.11,0.09
982,7,5,4,0.15,0.11,0.09
983,8,5,4,0.17,0.11,0.09
984,9,5,4,0.19,0.11,0.09
985,10,5,4,0.21,0.11,0.09
986,11,5,4,0.23,0.11,0.09
987,12,5,4,0.25,0.11,0.09
988,13,5,4,0.27,0.11,0.09
989,14,5,4,0.29,0.11,0.09
990,0,6,4,0.01,0.13,0.09
991,1,6,4,0.03,0.13,0.09
992,2,6,4,0.05,0.13,0.09
993,3,6,4,0.07,0.13,0.09
994,4,6,4,0.09,0.13,0.09
995,5,6,4,0.11,0.13,0.09
996,6,6,4,0.13,0.13,0.09
997,7,6,4,0.15,0.13,0.09
998,8,6,4,0.17,0.13,0.09
999,9,6,4,0.19,0.13,0.09
1000,10,6,4,0.21,0.13,0.09
1001,11,6,4,0.23,0.13,0.09
1002,12,6,4,0.25,0.13,0.09
1003,13,6,4,0.27,0.13,0.09
1004,14,6,4,0.29,0.13,0.09
1005,0,7,4,0.01,0.15,0.09
1006,1,7,4,0.03,0.15,0.09
1007,2,7,4,0.05,0.15,0.09
1008,3,7,4,0.07,0.15,0.09
1009,4,7,4,0.09,0.15,0.09
1010,5,7,4,0.11,0.15,0.09
1011,6,7,4,0.13,0.15,0.09
1012,7,7,4,0.15,0.15,0.09
1013,8,7,4,0.17,0.15,0.09
1014,9,7,4,0.19,0.15,0.09
1015,10,7,4,0.21,0.15,0.09
1016,11,7,4,0.23,0.15,0.09
1017,12,7,4,0.25,0.15,0.09
1018,13,7,4,0.27,0.15,0.09
1019,14,7,4,0.29,0.15,0.09
1020,0,8,4,0.01,0.17,0.09
1021,1,8,4,0.03,0.17,0.09
1022,2,8,4,0.05,0.17,0.09
1023,3,8,4,0.07,0.17,0.09
1024,4,8,4,0.09,0.17,0.09
1025,5,8,4,0.11,0.17,0.09
1026,6,8,4,0.13,0.17,0.09
1027,7,8,4,0.15,0.17,0.09
1028,8,8,4,0.17,0.17,0.09
1029,9,8,4,0.19,0.17,0.09
1030,10,8,4,0.21,0.17,0.09
1031,11,8,4,0.23,0.17,0.09
1032,12,8,4,0.25,0.17,0.09
1033,13,8,4,0.27,0.17,0.09
1034,14,8,4,0.29,0.17,0.09
1035,0,9,4,0.01,0.19,0.09
1036,1,9,4,0.03,0.19,0.09
1037,2,9,4,0.05,0.19,0.09
1038,3,9,4,0.07,0.19,0.09
1039,4,9,4,0.09,0.19,0.09
1040,5,9,4,0.11,0.19,0.09
1041,6,9,4,0.13,0.19,0.09
1042,7,9,4,0.15,0.19,0.09
1043,8,9,4,0.17,0.19,0.09
1044,9,9,4,0.19,0.19,0.09
1045,10,9,4,0.21,0.19,0.09
1046,11,9,4,0.23,0.19,0.09
1047,12,9,4,0.25,0.19,0.09
1048,13,9,4,0.27,0.19,0.09
1049,14,9,4,0.29,0.19,0.09
1050,0,10,4,0.01,0.21,0.09
1051,1,10,4,0.03,0.21,0.09
1052,2,10,4,0.05,0.21,0.09
1053,3,10,4,0.07,0.21,0.09
1054,4,10,4,0.09,0.21,0.09
1055,5,10,4,0.11,0.21,0.09
1056,6,10,4,0.13,0.21,0.09
1057,7,10,4,0.15,0.21,0.09
1058,8,10,4,0.17,0.21,0.09
1059,9,10,4,0.19,0.21,0.09
1060,10,10,4,0.21,0.21,0.09
1061,11,10,4,0.23,0.21,0.09
1062,12,10,4,0.25,0.21,0.09
1063,13,10,4,0.27,0.21,0.09
1064,14,10,4,0.29,0.21,0.09
1065,0,11,4,0.01,0.23,0.09
1066,1,11,4,0.03,0.23,0.09
1067,2,11,4,0.05,0.23,0.09
1068,3,11,4,0.07,0.23,0.09
1069,4,11,4,0.09,0.23,0.09
1070,5,11,4,0.11,0.23,0.09
1071,6,11,4,0.13,0.23,0.09
1072,7,11,4,0.15,0.23,0.09
1073,8,11,4,0.17,0.23,0.09
1074,9,11,4,0.19,0.23,0.09
1075,10,11,4,0.21,0.23,0.09
1076,11,11,4,0.23,0.23,0.09
1077,12,11,4,0.25,0.23,0.09
1078,13,11,4,0.27,0.23,0.09
1079,14,11,4,0.29,0.23,0.09
1080,0,12,4,0.01,0.25,0.09
1081,1,12,4,0.03,0.25,0.09
1082,2,12,4,0.05,0.25,0.09
1083,3,12,4,0.07,0.25,0.09
1084,4,12,4,0.09,0.25,0.09
1085,5,12,4,0.11,0.25,0.09
1086,6,12,4,0.13,0.25,0.09
1087,7,12,4,0.15,0.25,0.09
1088,8,12,4,0.17,0.25,0.09
1089,9,12,4,0.19,0.25,0.09
1090,10,12,4,0.21,0.25,0.09
1091,11,12,4,0.23,0.25,0.09
1092,12,12,4,0.25,0.25,0.09
1093,13,12,4,0.27,0.25,0.09
1094,14,12,4,0.29,0.25,0.09
1095,0,13,4,0.01,0.27,0.09
1096,1,13,4,0.03,0.27,0.09
1097,2,13,4,0.05,0.27,0.09
1098,3,13,4,0.07,0.27,0.09
1099,4,13,4,0.09,0.27,0.09
1100,5,13,4,0.11,0.27,0.09
1101,6,13,4,0.13,0.27,0.09
1102,7,13,4,0.15,0.27,0.09
1103,8,13,4,0.17,0.27,0.09
1104,9,13,4,0.19,0.27,0.09
1105,10,13,4,0.21,0.27,0.09
1106,11,13,4,0.23,0.27,0.09
1107,12,13,4,0.25,0.27,0.09
1108,13,13,4,0.27,0.27,0.09
1109,14,13,4,0.29,0.27,0.09
1110,0,14,4,0.01,0.29,0.09
1111,1,14,4,0.03,0.29,0.09
1112,2,14,4,0.05,0.29,0.09
1113,3,14,4,0.07,0.29,0.09
1114,4,14,4,0.09,0.29,0.09
1115,5,14,4,0.11,0.29,0.09
1116,6,14,4,0.13,0.29,0.09
1117,7,14,4,0.15,0.29,0.09
1118,8,14,4,0.17,0.29,0.09
1119,9,14,4,0.19,0.29,0.09
1120,10,14,4,0.21,0.29,0.09
1121,11,14,4,0.23,0.29,0.09
1122,12,14,4,0.25,0.29,0.09
1123,13,14,4,0.27,0.29,0.09
1124,14,14,4,0.29,0.29,0.09
1125,0,0,5,0.01,0.01,0.11
1126,1,0,5,0.03,0.01,0.11
1127,2,0,5,0.05,0.01,0.11
1128,3,0,5,0.07,0.01,0.11
1129,4,0,5,0.09,0.01,0.11
1130,5,0,5,0.11,0.01,0.11
1131,6,0,5,0.13,0.01,0.11
1132,7,0,5,0.15,0.01,0.11
1133,8,0,5,0.17,0.01,0.11
1134,9,0,5,0.19,0.01,0.11
1135,10,0,5,0.21,0.01,0.11
1136,11,0,5,0.23,0.01,0.11
1137,12,0,5,0.25,0.01,0.11
1138,13,0,5,0.27,0.01,0.11
1139,14,0,5,0.29,0.01,0.11
1140,0,1,5,0.01,0.03,0.11
1141,1,1,5,0.03,0.03,0.11
1142,2,1,5,0.05,0.03,0.11
1143,3,1,5,0.07,0.03,0.11
1144,4,1,5,0.09,0.03,0.11
1145,5,1,5,0.11,0.03,0.11
1146,6,1,5,0.13,0.03,0.11
1147,7,1,5,0.15,0.03,0.11
1148,8,1,5,0.17,0.03,0.11
1149,9,1,5,0.19,0.03,0.11
1150,10,1,5,0.21,0.03,0.11
1151,11,1,5,0.23,0.03,0.11
1152,12,1,5,0.25,0.03,0.11
1153,13,1,5,0.27,0.03,0.11
1154,14,1,5,0.29,0.03,0.11
1155,0,2,5,0.01,0.05,0.11
1156,1,2,5,0.03,0.05,0.11
1157,2,2,5,0.05,0.05,0.11
1158,3,2,5,0.07,0.05,0.11
1159,4,2,5,0.09,0.05,0.11
1160,5,2,5,0.11,0.05,0.11
1161,6,2,5,0.13,0.05,0.11
1162,7,2,5,0.15,0.05,0.11
1163,8,2,5,0.17,0.05,0.11
1164,9,2,5,0.19,0.05,0.11
1165,10,2,5,0.21,0.05,0.11
1166,11,2,5,0.23,0.05,0.11
1167,12,2,5,0.25,0.05,0.11
1168,13,2,5,0.27,0.05,0.11
1169,14,2,5,0.29,0.05,0.11
1170,0,3,5,0.01,0.07,0.11
1171,1,3,5,0.03,0.07,0.11
1172,2,3,5,0.05,0.07,0.11
1173,3,3,5,0.07,0.07,0.11
1174,4,3,5,0.09,0.07,0.11
1175,5,3,5,0.11,0.07,0.11
1176,6,3,5,0.13,0.07,0.11
1177,7,3,5,0.15,0.07,0.11
1178,8,3,5,0.17,0.07,0.11
1179,9,3,5,0.19,0.07,0.11
1180,10,3,5,0.21,0.07,0.11
1181,11,3,5,0.23,0.07,0.11
1182,12,3,5,0.25,0.07,0.11
1183,13,3,5,0.27,0.07,0.11
1184,14,3,5,0.29,0.07,0.11
1185,0,4,5,0.01,0.09,0.11
1186,1,4,5,0.03,0.09,0.11
1187,2,4,5,0.05,0.09,0.11
1188,3,4,5,0.07,0.09,0.11
1189,4,4,5,0.09,0.09,0.11
1190,5,4,5,0.11,0.09,0.11
1191,6,4,5,0.13,0.09,0.11
1192,7,4,5,0.15,0.09,0.11
1193,8,4,5,0.17,0.09,0.11
1194,9,4,5,0.19,0.09,0.11
1195,10,4,5,0.21,0.09,0.11
1196,11,4,5,0.23,0.09,0.11
1197,12,4,5,0.25,0.09,0.11
1198,13,4,5,0.27,0.09,0.11
1199,14,4,5,0.29,0.09,0.11
1200,0,5,5,0.01,0.11,0.11
1201,1,5,5,0.03,0.11,0.11
1202,2,5,5,0.05,0.11,0.11
1203,3,5,5,0.07,0.11,0.11
1204,4,5,5,0.09,0.11,0.11
1205,5,5,5,0.11,0.11,0.11
1206,6,5,5,0.13,0.11,0.11
1207,7,5,5,0.15,0.11,0.11
1208,8,5,5,0.17,0.11,0.11
1209,9,5,5,0.19,0.11,0.11
1210,10,5,5,0.21,0.11,0.11
1211,11,5,5,0.23,0.11,0.11
1212,12,5,5,0.25,0.11,0.11
1213,13,5,5,0.27,0.11,0.11
1214,14,5,5,0.29,0.11,0.11
1215,0,6,5,0.01,0.13,0.11
1216,1,6,5,0.03,0.13,0.11
1217,2,6,5,0.05,0.13,0.11
1218,3,6,5,0.07,0.13,0.11
1219,4,6,5,0.09,0.13,0.11
1220,5,6,5,0.11,0.13,0.11
1221,6,6,5,0.13,0.13,0.11
1222,7,6,5,0.15,0.13,0.11
1223,8,6,5,0.17,0.13,0.11
1224,9,6,5,0.19,0.13,0.11
1225,10,6,5,0.21,0.13,0.11
1226,11,6,5,0.23,0.13,0.11
1227,12,6,5,0.25,0.13,0.11
1228,13,6,5,0.27,0.13,0.11
1229,14,6,5,0.29,0.13,0.11
1230,0,7,5,0.01,0.15,0.11
1231,1,7,5,0.03,0.15,0.11
1232,2,7,5,0.05,0.15,0.11
1233,3,7,5,0.07,0.15,0.11
1234,4,7,5,0.09,0.15,0.11
1235,5,7,5,0.11,0.15,0.11
1236,6,7,5,0.13,0.15,0.11
1237,7,7,5,0.15,0.15,0.11
1238,8,7,5,0.17,0.15,0.11
1239,9,7,5,0.19,0.15,0.11
1240,10,7,5,0.21,0.15,0.11
1241,11,7,5,0.23,0.15,0.11
1242,12,7,5,0.25,0.15,0.11
1243,13,7,5,0.27,0.15,0.11
1244,14,7,5,0.29,0.15,0.11
1245,0,8,5,0.01,0.17,0.11
1246,1,8,5,0.03,0.17,0.11
1247,2,8,5,0.05,0.17,0.11
1248,3,8,5,0.07,0.17,0.11
1249,4,8,5,0.09,0.17,0.11
1250,5,8,5,0.11,0.17,0.11
1251,6,8,5,0.13,0.17,0.11
1252,7,8,5,0.15,0.17,0.11
1253,8,8,5,0.17,0.17,0.11
1254,9,8,5,0.19,0.17,0.11
1255,10,8,5,0.21,0.17,0.11
1256,11,8,5,0.23,0.17,0.11
1257,12,8,5,0.25,0.17,0.11
1258,13,8,5,0.27,0.17,0.11
1259,14,8,5,0.29,0.17,0.11
1260,0,9,5,0.01,0.19,0.11
1261,1,9,5,0.03,0.19,0.11
1262,2,9,5,0.05,0.19,0.11
1263,3,9,5,0.07,0.19,0.11
1264,4,9,5,0.09,0.19,0.11
1265,5,9,5,0.11,0.19,0.11
1266,6,9,5,0.13,0.19,0.11
1267,7,9,5,0.15,0.19,0.11
1268,8,9,5,0.17,0.19,0.11
1269,9,9,5,0.19,0.19,0.11
1270,10,9,5,0.21,0.19,0.11
1271,11,9,5,0.23,0.19,0.11
1272,12,9,5,0.25,0.19,0.11
1273,13,9,5,0.27,0.19,0.11
1274,14,9,5,0.29,0.19,0.11
1275,0,10,5,0.01,0.21,0.11
1276,1,10,5,0.03,0.21,0.11
1277,2,10,5,0.05,0.21,0.11
1278,3,10,5,0.07,0.21,0.11
1279,4,10,5,0.09,0.21,0.11
1280,5,10,5,0.11,0.21,0.11
1281,6,10,5,0.13,0.21,0.11
1282,7,10,5,0.15,0.21,0.11
1283,8,10,5,0.17,0.21,0.11
1284,9,10,5,0.19,0.21,0.11
1285,10,10,5,0.21,0.21,0.11
1286,11,10,5,0.23,0.21,0.11
1287,12,10,5,0.25,0.21,0.11
1288,13,10,5,0.27,0.21,0.11
1289,14,10,5,0.29,0.21,0.11
1290,0,11,5,0.01,0.23,0.11
1291,1,11,5,0.03,0.23,0.11
1292,2,11,5,0.05,0.23,0.11
1293,3,11,5,0.07,0.23,0.11
1294,4,11,5,0.09,0.23,0.11
1295,5,11,5,0.11,0.23,0.11
1296,6,11,5,0.13,0.23,0.11
1297,7,11,5,0.15,0.23,0.11
1298,8,11,5,0.17,0.23,0.11
1299,9,11,5,0.19,0.23,0.11
1300,10,11,5,0.21,0.23,0.11
1301,11,11,5,0.23,0.23,0.11
1302,12,11,5,0.25,0.23,0.11
1303,13,11,5,0.27,0.23,0.11
1304,14,11,5,0.29,0.23,0.11
1305,0,12,5,0.01,0.25,0.11
1306,1,12,5,0.03,0.25,0.11
1307,2,12,5,0.05,0.25,0.11
1308,3,12,5,0.07,0.25,0.11
1309,4,12,5,0.09,0.25,0.11
1310,5,12,5,0.11,0.25,0.11
1311,6,12,5,0.13,0.25,0.11
1312,7,12,5,0.15,0.25,0.11
1313,8,12,5,0.17,0.25,0.11
1314,9,12,5,0.19,0.25,0.11
1315,10,12,5,0.21,0.25,0.11
1316,11,12,5,0.23,0.25,0.11
1317,12,12,5,0.25,0.25,0.11
1318,13,12,5,0.27,0.25,0.11
1319,14,12,5,0.29,0.25,0.11
1320,0,13,5,0.01,0.27,0.11
1321,1,13,5,0.03,0.27,0.11
1322,2,13,5,0.05,0.27,0.11
1323,3,13,5,0.07,0.27,0.11
1324,4,13,5,0.09,0.27,0.11
1325,5,13,5,0.11,0.27,0.11
1326,6,13,5,0.13,0.27,0.11
1327,7,13,5,0.15,0.27,0.11
1328,8,13,5,0.17,0.27,0.11
1329,9,13,5,0.19,0.27,0.11
1330,10,13,5,0.21,0.27,0.11
1331,11,13,5,0.23,0.27,0.11
1332,12,13,5,0.25,0.27,0.11
1333,13,13,5,0.27,0.27,0.11
1334,14,13,5,0.29,0.27,0.11
1335,0,14,5,0.01,0.29,0.11
1336,1,14,5,0.03,0.29,0.11
1337,2,14,5,0.05,0.29,0.11
1338,3,14,5,0.07,0.29,0.11
1339,4,14,5,0.09,0.29,0.11
1340,5,14,5,0.11,0.29,0.11
1341,6,14,5,0.13,0.29,0.11
1342,7,14,5,0.15,0.29,0.11
1343,8,14,5,0.17,0.29,0.11
1344,9,14,5,0.19,0.29,0.11
1345,10,14,5,0.21,0.29,0.11
1346,11,14,5,0.23,0.29,0.11
1347,12,14,5,0.25,0.29,0.11
1348,13,14,5,0.27,0.29,0.11
1349,14,14,5,0.29,0.29,0.11
1350,0,0,6,0.01,0.01,0.13
1351,1,0,6,0.03,0.01,0.13
1352,2,0,6,0.05,0.01,0.13
1353,3,0,6,0.07,0.01,0.13
1354,4,0,6,0.09,0.01,0.13
1355,5,0,6,0.11,0.01,0.13
1356,6,0,6,0.13,0.01,0.13
1357,7,0,6,0.15,0.01,0.13
1358,8,0,6,0.17,0.01,0.13
1359,9,0,6,0.19,0.01,0.13
1360,10,0,6,0.21,0.01,0.13
1361,11,0,6,0.23,0.01,0.13
1362,12,0,6,0.25,0.01,0.13
1363,13,0,6,0.27,0.01,0.13
1364,14,0,6,0.29,0.01,0.13
1365,0,1,6,0.01,0.03,0.13
1366,1,1,6,0.03,0.03,0.13
1367,2,1,6,0.05,0.03,0.13
1368,3,1,6,0.07,0.03,0.13
1369,4,1,6,0.09,0.03,0.13
1370,5,1,6,0.11,0.03,0.13
1371,6,1,6,0.13,0.03,0.13
1372,7,1,6,0.15,0.03,0.13
1373,8,1,6,0.17,0.03,0.13
